user_id,reconstruction_error,is_anomaly
CDE1846,130.43873002561438,True
BPD2437,4.2330301728803885,True
TAM3048,3.7173783611717552,True
CHB1062,2.621358595703754,True
BPN3051,2.5705330037104552,True
LCW0047,2.5369163285132657,True
QGH0041,2.4293691049387105,True
EPI3052,2.3430280727069683,True
MTS0465,2.341451117379523,True
WSA1765,2.292748194593228,True
BMM0462,2.2741730102774946,True
JCB3054,2.2442108174325752,True
KAC1774,2.1193202871079424,True
MAB1775,2.04054863429984,True
CAM3050,2.0148528777632,True
LEB1764,1.9888299141246482,True
DLM2440,1.9474150616912835,True
QAH0048,1.8275478654881332,True
KEF1057,1.714218782253126,True
IKP1047,1.657404297552889,True
